_G Int,G FWHM,G Shift,_2D Int,2D FWHM,2D Shift,_2D_MassCenter,_D Int,2D/G,D/G,_R Int,_Rp Int,R/G,Rp/G,_Target
1755.0049,15.0768,1585.691,935.0544,54.3515,2694.764,2692.9197,60.0024,0.532793042,0.034189306,0,0,0,0,BLG-AB
1843.0469,14.3112,1585.381,907.0393,54.0565,2693.194,2691.5155,61.0029,0.492141193,0.033098941,0,0,0,0,BLG-AB
1695.0451,15.4651,1585.675,933.0887,54.0655,2694.209,2692.4084,53.0047,0.550480161,0.031270377,0,0,0,0,BLG-AB
1754.0435,15.4418,1585.742,946.064,55.3571,2695.593,2693.6922,62.0034,0.539361766,0.035348838,0,0,0,0,BLG-AB
1739.0156,15.4048,1584.139,914.0186,56.5967,2692.76,2691.4617,74.0038,0.5255954,0.042554995,0,0,0,0,BLG-AB
1861.0095,13.9681,1584.546,918.0488,55.2206,2692.908,2691.0948,73.0033,0.493306885,0.039227795,0,0,0,0,BLG-AB
1698.0304,15.5334,1585.735,967.0014,55.5912,2696.681,2694.6991,47.0014,0.569484151,0.027679952,0,0,0,0,BLG-AB
1730.009,15.2427,1584.435,974.0791,53.6901,2694.179,2692.3162,55.0057,0.563048574,0.031795037,0,0,0,0,BLG-AB
1819.0125,14.3659,1583.971,988.0374,53.8653,2692.363,2690.4996,52.0041,0.543172408,0.028589193,0,0,0,0,BLG-AB
1692.0092,15.8202,1585.189,969.0659,53.5842,2695.174,2693.3499,61.0029,0.572730869,0.036053527,0,0,0,0,BLG-AB
1728.0356,14.8397,1585.303,948.0301,53.8363,2694.888,2692.8702,56.0002,0.548617228,0.032406856,0,0,0,0,BLG-AB
1629.0136,15.7041,1586.115,947.0469,54.1784,2696.696,2694.5241,51.0036,0.581362181,0.031309499,0,0,0,0,BLG-AB
1606.0417,16.2994,1585.445,975.062,53.7656,2695.427,2693.2676,57.0008,0.607121222,0.035491482,0,0,0,0,BLG-AB
1764.0114,14.5264,1585.221,970.0488,54.4907,2695.582,2693.7354,58.0013,0.549910732,0.032880343,0,0,0,0,BLG-AB
1653.048,14.7183,1585.21,985.0886,51.6839,2692.735,2692.2283,65.005,0.595922562,0.039324327,0,0,0,0,BLG-AB
1659.0187,15.6932,1585.249,966.0185,54.1659,2695.833,2693.8454,74.0038,0.582283069,0.044606972,0,0,0,0,BLG-AB
1818.0006,14.5404,1586.628,931.0242,55.0877,2695.798,2693.7706,61.0029,0.512114352,0.033554939,0,0,0,0,BLG-AB
1942.9798,14.3304,1584.251,940.0676,54.801,2692.613,2691.0806,94.0024,0.483827778,0.048380534,0,0,0,0,BLG-AB
1955.9838,14.108,1585.496,911.0696,55.1874,2695.216,2693.118,74.0038,0.465785862,0.037834567,0,0,0,0,BLG-AB
1769.0208,15.1903,1584.933,908.0225,55.659,2692.884,2691.1111,90.0003,0.513291025,0.050875773,0,0,0,0,BLG-AB
1693.0213,15.6054,1585.634,912.0527,54.6832,2694.335,2692.2726,61.0029,0.538713069,0.036031974,0,0,0,0,BLG-AB
1873.0014,14.2256,1584.23,923.062,54.2421,2691.244,2689.7128,69.0011,0.492825045,0.036839855,0,0,0,0,BLG-AB
1813.0418,14.6482,1585.242,919.0317,55.5267,2693.88,2692.1001,64.0045,0.506900448,0.035302275,0,0,0,0,BLG-AB
1787.034,14.8273,1585.906,931.0242,53.1617,2695.023,2693.1136,57.0008,0.520988521,0.031896875,0,0,0,0,BLG-AB
1403.0389,16.1844,1587.658,1024.0146,51.4913,2689.465,2691.9287,85.0037,0.729854746,0.060585419,0,0,0,0,BLG-AB
1730.009,15.1594,1585.865,969.0659,53.0599,2695.97,2694.1624,76.0049,0.560150785,0.04393324,0,0,0,0,BLG-AB
1527.006,17.5321,1585.341,961.0054,53.4221,2693.234,2691.9996,59.0018,0.629339636,0.038638879,0,0,0,0,BLG-AB
1802.0113,14.5117,1586.28,918.0488,56.1487,2695.679,2693.5391,57.0008,0.509457849,0.031631766,0,0,0,0,BLG-AB
1518.0502,17.7884,1584.903,951.0771,54.8245,2693.457,2692.2259,71.0022,0.626512285,0.046771971,0,0,0,0,BLG-AB
1784.0487,14.8194,1584.456,929.0583,53.981,2692.203,2690.5392,59.0018,0.520758374,0.033071855,0,0,0,0,BLG-AB
1825.0337,14.4974,1586.204,919.0317,53.9886,2695.914,2693.6681,54.0052,0.503569715,0.029591344,0,0,0,0,BLG-AB
1776.0033,14.451,1583.584,1102.064,53.5911,2694.789,2692.8413,50.0031,0.620530379,0.028154846,0,0,0,0,BLG-AB
1705.0132,14.8721,1584.045,1113.0732,53.3404,2695.477,2693.4718,50.0031,0.652823802,0.029327104,0,0,0,0,BLG-AB
1673.0346,15.3377,1585.657,1072.0828,54.2012,2695.602,2694.405,67.0001,0.640801332,0.04004705,0,0,0,0,BLG-AB
1720.0409,15.2427,1585.791,954.0261,54.6756,2696.922,2695.1,61.0029,0.554653148,0.035465959,0,0,0,0,BLG-AB
1707.0372,15.0146,1584.751,968.0827,55.4928,2694.346,2692.6181,48.002,0.567112832,0.028120067,0,0,0,0,BLG-AB
1799.0259,14.3836,1584.809,982.0412,53.875,2694.773,2692.8556,54.0052,0.545873853,0.030019134,0,0,0,0,BLG-AB
1764.0114,14.8303,1584.242,944.0979,54.3806,2693.343,2691.6105,68.0006,0.535199432,0.038548844,0,0,0,0,BLG-AB
1824.0218,14.6056,1584.493,909.0054,55.2137,2693.76,2692.106,94.0024,0.498352268,0.051535788,0,0,0,0,BLG-AB
1782.0247,14.4737,1584.152,907.0393,54.578,2693.2,2691.1356,71.0022,0.508993674,0.039843555,0,0,0,0,BLG-AB
1705.0132,15.1458,1584.669,925.0281,55.9007,2694.339,2692.3134,70.0017,0.542534275,0.041056398,0,0,0,0,BLG-AB
1701.0158,14.9879,1585.353,923.062,55.0842,2695.414,2693.5347,56.0002,0.542653396,0.032921622,0,0,0,0,BLG-AB
1718.0172,14.5819,1585.017,927.0923,54.7795,2695.346,2693.1647,55.0057,0.539629231,0.032016967,0,0,0,0,BLG-AB
1737.0423,14.3677,1585.989,968.0827,53.7296,2696.145,2694.2329,52.0041,0.55731671,0.029938304,0,0,0,0,BLG-AB
1730.009,14.1728,1586.52,936.0376,55.2781,2697.877,2695.5872,49.0025,0.541059382,0.028324997,0,0,0,0,BLG-AB
1709.0104,16.6922,1583.125,1097.0505,56.4042,2693.489,2691.9754,77.0054,0.641921489,0.045058474,0,0,0,0,BLG-AB
1746.0489,14.635,1585.741,941.0508,51.4823,2694.572,2693.4635,76.0049,0.538960163,0.043529651,0,0,0,0,BLG-AB
1715.0318,15.7218,1584.21,926.011,55.1929,2692.821,2690.8716,70.0017,0.539938093,0.040816561,0,0,0,0,BLG-AB
