G FWHM,G Shift,2D FWHM,2D Shift,2D/G,D/G,R/G,R'/G,_Target
15.5695,1584.89,55.1092,2693.587,0.552606625,0.040344567,0,0,BLG-AB
14.4773,1582.555,52.9051,2694.992,0.684070315,0.037844545,0,0,BLG-AB
18.8003,1586.643,56.1071,2697.643,0.568185216,0.050609383,0,0,BLG-AB
15.8481,1583.947,51.6242,2698.767,0.757207656,0.039496726,0,0,BLG-AB
13.8117,1585.315,53.411,2694.19,0.480364678,0.045599168,0,0,BLG-AB
14.5408,1581.186,52.9474,2693.641,0.696390737,0.043031251,0,0,BLG-AB
15.972,1583.407,53.1941,2697.555,0.736331545,0.038996531,0,0,BLG-AB
14.1392,1580.025,52.9978,2691.931,0.585652088,0.027209392,0,0,BLG-AB
13.5719,1585.243,55.0891,2693.504,0.458520277,0.049835214,0,0,BLG-AB
15.6246,1585.341,55.4561,2694.894,0.550556646,0.050111996,0,0,BLG-AB
14.8001,1584.813,53.6306,2694.283,0.526730965,0.052410233,0,0,BLG-AB
15.7007,1585.454,55.1078,2696.442,0.580883142,0.032477383,0,0,BLG-AB
14.0013,1585.148,55.7297,2693.783,0.475926418,0.042106879,0,0,BLG-AB
14.3906,1579.916,52.1324,2689.762,0.781025513,0.03352075,0,0,BLG-AB
14.8047,1582.223,53.2173,2695.597,0.768717267,0.035470704,0,0,BLG-AB
15.6751,1582.193,53.8366,2695.033,0.758106862,0.040423726,0,0,BLG-AB
15.4418,1585.742,55.3571,2695.593,0.539361766,0.035348838,0,0,BLG-AB
14.6521,1581.495,52.3104,2693.787,0.760232758,0.036415309,0,0,BLG-AB
17.253,1584.546,53.1642,2699.589,0.835684416,0.037819968,0,0,BLG-AB
15.3377,1585.657,54.2012,2695.602,0.640801332,0.04004705,0,0,BLG-AB
14.7975,1583.344,53.3513,2694.344,0.597656615,0.040303307,0,0,BLG-AB
15.2569,1583.247,52.3027,2697.179,0.740205628,0.037187459,0,0,BLG-AB
15.7511,1583.561,53.2471,2697.786,0.741808588,0.042808779,0,0,BLG-AB
16.6646,1584.817,52.3012,2699.72,0.816015189,0.066074358,0,0,BLG-AB
17.3587,1580.607,51.2293,2691.821,0.895742708,0.041042616,0,0,BLG-AB
15.961,1583.765,53.4218,2698.535,0.777699796,0.037002108,0,0,BLG-AB
14.4345,1582.913,53.5267,2692.673,0.561890902,0.041238379,0,0,BLG-AB
14.454,1583.232,52.5724,2696.392,0.663839785,0.036130919,0,0,BLG-AB
15.6679,1579.416,53.7047,2688.937,0.720830812,0.037141466,0,0,BLG-AB
14.2436,1580.669,51.9503,2692.168,0.737920096,0.038895316,0,0,BLG-AB
14.2015,1581.45,53.1245,2693.877,0.735467119,0.032591769,0,0,BLG-AB
19.756,1581.498,54.1395,2692.786,0.899639462,0.046137178,0,0,BLG-AB
14.6467,1587.089,54.2088,2697.282,0.49591596,0.028926529,0,0,BLG-AB
15.2767,1582.834,53.9355,2696.122,0.712004976,0.040097081,0,0,BLG-AB
16.0415,1581.859,52.7386,2693.844,0.731003498,0.065138765,0,0,BLG-AB
14.6625,1585.844,52.9145,2694.735,0.54313888,0.036529606,0,0,BLG-AB
15.1326,1585.66,55.5067,2692.782,0.502621323,0.034998534,0,0,BLG-AB
14.5155,1584.291,51.495,2698.938,0.679731469,0.033113594,0,0,BLG-AB
15.7622,1583.066,53.5925,2693.775,0.67916176,0.033334106,0,0,BLG-AB
